iter	Passed	Remaining
866	2717	416
867	2720	413
868	2723	410
869	2726	407
870	2729	404
871	2732	401
872	2735	397
873	2738	394
874	2741	391
875	2744	388
876	2747	385
877	2750	382
878	2753	379
879	2757	375
880	2760	372
881	2762	369
882	2766	366
883	2769	363
884	2772	360
885	2775	357
886	2778	353
887	2781	350
888	2783	347
889	2786	344
890	2788	341
891	2791	337
892	2794	334
893	2797	331
894	2800	328
895	2803	325
896	2806	322
897	2807	318
898	2810	315
899	2813	312
900	2816	309
901	2819	306
902	2822	303
903	2825	300
904	2828	296
905	2831	293
906	2833	290
907	2836	287
908	2839	284
909	2842	281
910	2845	278
911	2848	274
912	2851	271
913	2854	268
914	2857	265
915	2860	262
916	2863	259
917	2866	256
918	2869	252
919	2872	249
920	2875	246
921	2878	243
922	2881	240
923	2884	237
924	2887	234
925	2890	230
926	2893	227
927	2896	224
928	2899	221
929	2902	218
930	2904	215
931	2906	212
932	2909	208
933	2912	205
934	2915	202
935	2918	199
936	2921	196
937	2924	193
938	2927	190
939	2930	187
940	2933	183
941	2936	180
942	2939	177
943	2942	174
944	2945	171
945	2948	168
946	2951	165
947	2954	162
948	2957	158
949	2960	155
950	2963	152
951	2966	149
952	2969	146
953	2972	143
954	2975	140
955	2978	137
956	2980	133
957	2983	130
958	2986	127
959	2989	124
960	2992	121
961	2995	118
962	2998	115
963	3001	112
964	3003	108
965	3006	105
966	3009	102
967	3012	99
968	3015	96
969	3018	93
970	3021	90
971	3024	87
972	3027	84
973	3030	80
974	3033	77
975	3037	74
976	3040	71
977	3043	68
978	3046	65
979	3049	62
980	3052	59
981	3056	56
982	3059	52
983	3062	49
984	3065	46
985	3068	43
986	3071	40
987	3075	37
988	3078	34
989	3081	31
990	3084	28
991	3087	24
992	3090	21
993	3094	18
994	3097	15
995	3100	12
996	3103	9
997	3106	6
998	3110	3
999	3113	0
