CONTRACT_KEY,EMP_CODE,CONTRACT_CODE,CONTRACT_START_DATE,CONTRACT_END_DATE,PAID_HOURS,CONTRACT_QUALIF_CODE,CONTRACT_TYPE_CODE,DATE_DEBUT_CONTRAT,NUDOSS,QUALIFDESCRIPTION
40421_20150401_20170630,40421,C01,2015-04-01,2017-06-30 00:00:00,100.0,EMP     ,IE      ,2015-04-01,40421,Employé                                      
40421_20150401_20170731,40421,C01,2017-07-01,2017-07-31 00:00:00,100.0,EMP     ,IE      ,2015-04-01,40421,Employé                                      
40421_20150401_20170902,40421,C01,2017-08-01,2017-09-02 00:00:00,100.0,EMP     ,IE      ,2015-04-01,40421,Employé                                      
40421_20150401_20171230,40421,C01,2017-09-03,2017-12-30 00:00:00,100.0,EMP     ,IE      ,2015-04-01,40421,Employé                                      
40421_20150401_29991231,40421,C01,2018-01-01,2999-12-31 00:00:00,50.0,EMP     ,IE      ,2015-04-01,40421,Employé                                      
40422_20150401_20170630,40422,C01,2015-04-01,2017-06-30 00:00:00,100.0,EMP     ,IE      ,2015-04-01,40422,Employé                                      
40422_20150401_20170731,40422,C01,2017-07-01,2017-07-31 00:00:00,100.0,EMP     ,IE      ,2015-04-01,40422,Employé                                      
40422_20150401_20170902,40422,C01,2017-08-01,2017-09-02 00:00:00,100.0,EMP     ,IE      ,2015-04-01,40422,Employé                                      
40422_20150401_20171230,40422,C01,2017-09-03,2017-12-30 00:00:00,100.0,EMP     ,IE      ,2015-04-01,40422,Employé                                      
40422_20150401_29991231,40422,C01,2018-01-01,2999-12-31 00:00:00,50.0,EMP     ,IE      ,2015-04-01,40422,Employé                                      
40423_20150401_20170630,40423,C01,2015-04-01,2017-06-30 00:00:00,100.0,EMP     ,IE      ,2015-04-01,40423,Employé                                      
40423_20150401_20170731,40423,C01,2017-07-01,2017-07-31 00:00:00,100.0,EMP     ,IE      ,2015-04-01,40423,Employé                                      
40423_20150401_20170902,40423,C01,2017-08-01,2017-09-02 00:00:00,100.0,EMP     ,IE      ,2015-04-01,40423,Employé                                      
40423_20150401_20171230,40423,C01,2017-09-03,2017-12-30 00:00:00,100.0,EMP     ,IE      ,2015-04-01,40423,Employé                                      
40425_20150401_20170731,40425,C01,2017-07-01,2017-07-31 00:00:00,100.0,EMP     ,IE      ,2015-04-01,40425,Employé                                      
40423_20150401_29991231,40423,C01,2018-01-01,2999-12-31 00:00:00,50.0,EMP     ,IE      ,2015-04-01,40423,Employé                                      
40425_20150401_20170630,40425,C01,2015-04-01,2017-06-30 00:00:00,100.0,EMP     ,IE      ,2015-04-01,40425,Employé                                      
40425_20150401_20170902,40425,C01,2017-08-01,2017-09-02 00:00:00,100.0,EMP     ,IE      ,2015-04-01,40425,Employé                                      
40425_20150401_20171230,40425,C01,2017-09-03,2017-12-30 00:00:00,100.0,EMP     ,IE      ,2015-04-01,40425,Employé                                      
40425_20150401_29991231,40425,C01,2018-01-01,2999-12-31 00:00:00,50.0,EMP     ,IE      ,2015-04-01,40425,Employé                                      
40426_20150401_20170630,40426,C01,2015-04-01,2017-06-30 00:00:00,100.0,EMP     ,IE      ,2015-04-01,40426,Employé                                      
40426_20150401_20170731,40426,C01,2017-07-01,2017-07-31 00:00:00,100.0,EMP     ,IE      ,2015-04-01,40426,Employé                                      
40426_20150401_20170902,40426,C01,2017-08-01,2017-09-02 00:00:00,100.0,EMP     ,IE      ,2015-04-01,40426,Employé                                      
