ENTRY_EXIT_KEY,EMP_CODE,ENTRY_DATE,EXIT_DATE,ENTRY_PATTERN_CODE,EXIT_PATTERN_CODE,REASON_EXIT_CODE,LIB_ENTRY_PATTERN,LIB_EXIT_PATTERN,LIB_REASON_EXIT
718_20140101_20141212,718,2014-01-01,2014-12-12,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
602_20140101_20170410,602,2014-01-01,2017-04-10,001,003,TRANSF,Nouvelle entrée                              ,Mutation                                     ,Transféré - Valeur technique                 
603_20140905_20150131,603,2014-09-05,2015-01-31,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
604_20140908_20150131,604,2014-09-08,2015-01-31,001,004,FINCON,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
605_20140908_20160411,605,2014-09-08,2016-04-11,001,003,TRANSF,Nouvelle entrée                              ,Mutation                                     ,Transféré - Valeur technique                 
608_20140916_20150101,608,2014-09-16,2015-01-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
723_20140101_20150531,723,2014-01-01,2015-05-31,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
724_20150101_20150331,724,2015-01-01,2015-03-31,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
725_20150101_20150331,725,2015-01-01,2015-03-31,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
726_20140101_20150601,726,2014-01-01,2015-06-01,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
728_20140101_20141231,728,2014-01-01,2014-12-31,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
730_20140101_20141231,730,2014-01-01,2014-12-31,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
731_20140101_20141231,731,2014-01-01,2014-12-31,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
732_20140101_20141231,732,2014-01-01,2014-12-31,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
733_20140101_20141231,733,2014-01-01,2014-12-31,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
738_20140101_20141231,738,2014-01-01,2014-12-31,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
739_20140101_20141231,739,2014-01-01,2014-12-31,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
740_20140101_20140331,740,2014-01-01,2014-03-31,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
741_20140101_20140331,741,2014-01-01,2014-03-31,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
742_20140101_20141231,742,2014-01-01,2014-12-31,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
745_20140101_20140630,745,2014-01-01,2014-06-30,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
753_20140101_20141231,753,2014-01-01,2014-12-31,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
756_20140101_20141001,756,2014-01-01,2014-10-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
759_20140101_20141001,759,2014-01-01,2014-10-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
779_20140101_20140701,779,2014-01-01,2014-07-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
801_20140101_20150202,801,2014-01-01,2015-02-02,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
825_20150401_20150908,825,2015-04-01,2015-09-08,001,003,TRANSF,Nouvelle entrée                              ,Mutation                                     ,Transféré - Valeur technique                 
829_20140101_20141101,829,2014-01-01,2014-11-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
831_20140101_20140901,831,2014-01-01,2014-09-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
833_20150101_20150202,833,2015-01-01,2015-02-02,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
835_20140101_20141001,835,2014-01-01,2014-10-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
836_20140101_20141101,836,2014-01-01,2014-11-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
837_20140101_20141001,837,2014-01-01,2014-10-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
838_20140101_20141001,838,2014-01-01,2014-10-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
